FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
1	1.0	1.0	1347329106226803	2022-09-16	02:04:48.226803	GPS	234343.860	1143858.884	
2	1.0	2.0	1347329114764543	2022-09-16	02:04:56.764543	GPS	234343.932	1143858.884	
3	1.0	3.0	1347329120619154	2022-09-16	02:05:02.619154	GPS	234343.860	1143858.884	
4	1.0	4.0	1347329135425238	2022-09-16	02:05:17.425238	GPS	234343.788	1143858.848	
5	1.0	5.0	1347329159007710	2022-09-16	02:05:41.007710	GPS	234343.716	1143858.884	
6	1.0	6.0	1347329179602252	2022-09-16	02:06:01.602252	GPS	234343.572	1143858.848	
7	1.0	7.0	1347329196308688	2022-09-16	02:06:18.308688	GPS	234343.428	1143858.848	
8	1.0	8.0	1347329210440500	2022-09-16	02:06:32.440500	GPS	234343.320	1143858.812	
9	1.0	9.0	1347329222434998	2022-09-16	02:06:44.434998	GPS	234343.212	1143858.776	
10	1.0	10.0	1347329242916610	2022-09-16	02:07:04.916610	GPS	234343.104	1143858.740	
11	1.0	11.0	1347329259858895	2022-09-16	02:07:21.858895	GPS	234342.960	1143858.704	
12	1.0	12.0	1347329278271768	2022-09-16	02:07:40.271768	GPS	234342.852	1143858.740	
13	1.0	13.0	1347329297745764	2022-09-16	02:07:59.745764	GPS	234342.744	1143858.704	
14	1.0	14.0	1347329311283294	2022-09-16	02:08:13.283294	GPS	234342.708	1143858.668	
15	1.0	15.0	1347329328955248	2022-09-16	02:08:30.955248	GPS	234342.564	1143858.668	
16	1.0	16.0	1347329343359006	2022-09-16	02:08:45.359006	GPS	234342.456	1143858.668	
17	1.0	17.0	1347329357729976	2022-09-16	02:08:59.729976	GPS	234342.384	1143858.596	
18	1.0	18.0	1347329376589310	2022-09-16	02:09:18.589310	GPS	234342.204	1143858.524	
19	1.0	19.0	1347329393898488	2022-09-16	02:09:35.898488	GPS	234342.132	1143858.524	
20	1.0	20.0	1347329411008861	2022-09-16	02:09:53.008861	GPS	234341.988	1143858.488	
21	1.0	21.0	1347329427052901	2022-09-16	02:10:09.052901	GPS	234341.880	1143858.452	
22	1.0	22.0	1347329441317889	2022-09-16	02:10:23.317889	GPS	234341.772	1143858.416	
23	1.0	23.0	1347329458815889	2022-09-16	02:10:40.815889	GPS	234341.628	1143858.380	
24	1.0	24.0	1347329480812047	2022-09-16	02:11:02.812047	GPS	234341.520	1143858.380	
25	1.0	25.0	1347329499520700	2022-09-16	02:11:21.520700	GPS	234341.412	1143858.344	
26	1.0	26.0	1347329517504997	2022-09-16	02:11:39.504997	GPS	234341.268	1143858.344	
27	1.0	27.0	1347329550843119	2022-09-16	02:12:12.843119	GPS	234341.124	1143858.308	
28	1.0	28.0	1347329575298705	2022-09-16	02:12:37.298705	GPS	234341.016	1143858.272	
29	1.0	29.0	1347329597389047	2022-09-16	02:12:59.389047	GPS	234340.908	1143858.272	
30	1.0	30.0	1347329618758622	2022-09-16	02:13:20.758622	GPS	234340.800	1143858.272	
31	1.0	31.0	1347329635543714	2022-09-16	02:13:37.543714	GPS	234340.728	1143858.272	
32	1.0	32.0	1347329663003183	2022-09-16	02:14:05.003183	GPS	234340.584	1143858.272	
33	1.0	33.0	1347329679788140	2022-09-16	02:14:21.788140	GPS	234340.476	1143858.236	
34	1.0	34.0	1347329695561979	2022-09-16	02:14:37.561979	GPS	234340.404	1143858.236	
35	1.0	35.0	1347329719612452	2022-09-16	02:15:01.612452	GPS	234340.296	1143858.236	
36	1.0	36.0	1347329756488257	2022-09-16	02:15:38.488257	GPS	234340.080	1143858.200	
37	1.0	37.0	1347329781220820	2022-09-16	02:16:03.220820	GPS	234340.008	1143858.200	
38	1.0	38.0	1347329806664814	2022-09-16	02:16:28.664814	GPS	234339.900	1143858.164	
39	1.0	39.0	1347329825922750	2022-09-16	02:16:47.922750	GPS	234339.792	1143858.164	
40	1.0	40.0	1347329848974127	2022-09-16	02:17:10.974127	GPS	234339.684	1143858.128	
41	1.0	41.0	1347329864152966	2022-09-16	02:17:26.152966	GPS	234339.576	1143858.092	
42	1.0	42.0	1347329880329836	2022-09-16	02:17:42.329836	GPS	234339.504	1143858.056	
43	1.0	43.0	1347329901870722	2022-09-16	02:18:03.870722	GPS	234339.396	1143858.056	
44	1.0	44.0	1347329918092139	2022-09-16	02:18:20.092139	GPS	234339.324	1143858.020	
45	1.0	45.0	1347329936955034	2022-09-16	02:18:38.955034	GPS	234339.180	1143858.020	
46	1.0	46.0	1347329950753003	2022-09-16	02:18:52.753003	GPS	234339.072	1143858.020	
47	1.0	47.0	1347329964584666	2022-09-16	02:19:06.584666	GPS	234338.964	1143857.984	
