序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,σZ,HRMS,VRMS,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,VDOP,HDOP,截止高度角(°),参考站名称,基站B,基站L,基站H(相位中心),基站距离,基站方位,里程,偏距,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,点校验dB,点校验dL,点校验dH,点校验dN,点校验dE,点校验dZ,测量时长,N坐标差,E坐标差,高差
1,B091609,2625143.3233,566203.8314,121.5369," 23:43:35.25594"," 114:38:57.35796",121.5369,,,,,,,1.8765,0.0000,0.0000,0.0000,0.0000,0.0000,1.8000,直高(V),Hi-Target:D8 Pro,5,已知坐标,2022-09-16 09:46:04.0,2022-09-16 09:46:08.0,2022-09-16 01:46:04.0,2022-09-16 01:46:08.0,set_base,0.0,0,0,0.0000,0.0000,0.0000,0,," 00:00:00.00000"," 00:00:00.00000",0.0000,11680205.8003," 264:56:12.75803",0.0000,0.0000," 00:00:00",," 00:00:00"," 00:00:00",," 23:43:35.25595"," 114:38:57.35796",121.5369,,,-2436610.2140,5309950.6012,2550625.9988," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:5,0.0000,0.0000,0.0000
2,pt1,2625417.1833,566248.2212,121.4842," 23:43:44.15043"," 114:38:58.96921",121.4842,,,,,,,1.8765,0.0076,0.0095,0.0236,0.0122,0.0236,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:00:34.0,2022-09-16 10:00:34.0,2022-09-16 02:00:34.0,2022-09-16 02:00:34.0,,4.0,43,42,1.5325,0.9000,0.6290,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,277.4312," 189:12:25.08519",0.0000,0.0000," 00:18:50",," 00:07:12"," 00:17:24",," 23:43:44.15044"," 114:38:58.96921",121.4842,,,-2436605.7482,5309831.4454,2550876.4908," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
3,pt2,2625414.0159,566247.7183,121.4751," 23:43:44.04756"," 114:38:58.95094",121.4751,,,,,,,1.8765,0.0071,0.0091,0.0226,0.0115,0.0226,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:02:05.0,2022-09-16 10:02:05.0,2022-09-16 02:02:05.0,2022-09-16 02:02:05.0,,3.0,45,44,1.4215,0.9000,0.5998,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,274.2245," 189:12:32.84719",0.0000,0.0000," 00:22:12",," 00:00:00"," 00:22:12",," 23:43:44.04757"," 114:38:58.95094",121.4751,,,-2436605.8057,5309832.8112,2550873.5899," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
4,pt3,2625410.9240,566247.2079,121.4799," 23:43:43.94715"," 114:38:58.93242",121.4799,,,,,,,1.8765,0.0071,0.0089,0.0226,0.0114,0.0226,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:02:23.0,2022-09-16 10:02:23.0,2022-09-16 02:02:23.0,2022-09-16 02:02:23.0,,3.0,45,45,1.4206,0.9000,0.6001,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,271.0909," 189:12:25.99514",0.0000,0.0000," 00:08:24",," 00:00:00"," -00:08:24",," 23:43:43.94715"," 114:38:58.93242",121.4799,,,-2436605.8493,5309834.1639,2550870.7636," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
5,pt4,2625407.5295,566246.6692,121.4775," 23:43:43.83689"," 114:38:58.91286",121.4775,,,,,,,1.8765,0.0071,0.0088,0.0222,0.0114,0.0222,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:05:13.0,2022-09-16 10:05:13.0,2022-09-16 02:05:13.0,2022-09-16 02:05:13.0,,3.0,47,47,1.2359,0.7000,0.5763,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,267.6541," 189:12:34.79260",0.0000,0.0000," 00:04:15",," -00:00:36"," 00:04:12",," 23:43:43.83690"," 114:38:58.91286",121.4775,,,-2436605.9140,5309835.6335,2550867.6574," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
6,pt5,2625403.3821,566245.9978,121.4803," 23:43:43.70220"," 114:38:58.88849",121.4803,,,,,,,1.8765,0.0072,0.0090,0.0220,0.0115,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:05:36.0,2022-09-16 10:05:36.0,2022-09-16 02:05:36.0,2022-09-16 02:05:36.0,,4.0,47,47,1.2355,0.7000,0.5768,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,263.4531," 189:12:35.61039",0.0000,0.0000," 00:28:07",," 00:15:36"," 00:23:24",," 23:43:43.70220"," 114:38:58.88849",121.4803,,,-2436605.9832,5309837.4394,2550863.8648," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
7,pt6,2625398.5430,566245.1648,121.4827," 23:43:43.54504"," 114:38:58.85830",121.4827,,,,,,,1.8765,0.0071,0.0088,0.0218,0.0113,0.0218,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:05:58.0,2022-09-16 10:05:58.0,2022-09-16 02:05:58.0,2022-09-16 02:05:58.0,,4.0,47,47,1.2351,0.7000,0.5773,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,258.5433," 189:11:57.50873",0.0000,0.0000," 00:25:04",," 00:23:24"," 00:09:00",," 23:43:43.54504"," 114:38:58.85830",121.4827,,,-2436606.0185,5309839.5664,2550859.4394," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
8,pt7,2625395.2041,566244.6074,121.4763," 23:43:43.43660"," 114:38:58.83808",121.4763,,,,,,,1.8765,0.0071,0.0087,0.0217,0.0113,0.0217,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:06:14.0,2022-09-16 10:06:14.0,2022-09-16 02:06:14.0,2022-09-16 02:06:14.0,,2.0,47,47,1.2347,0.7000,0.5776,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,255.1585," 189:11:44.20685",0.0000,0.0000," 00:54:20",," 00:27:36"," 00:46:48",," 23:43:43.43660"," 114:38:58.83808",121.4763,,,-2436606.0555,5309841.0200,2550856.3827," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
9,pt8,2625392.0271,566244.1086,121.4884," 23:43:43.33341"," 114:38:58.81996",121.4884,,,,,,,1.8765,0.0072,0.0088,0.0219,0.0113,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:06:29.0,2022-09-16 10:06:29.0,2022-09-16 02:06:29.0,2022-09-16 02:06:29.0,,3.0,47,47,1.2344,0.7000,0.5779,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,251.9427," 189:11:56.70436",0.0000,0.0000," 00:19:22",," 00:05:24"," 00:18:36",," 23:43:43.33342"," 114:38:58.81996",121.4884,,,-2436606.1264,5309842.4053,2550853.4814," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
10,pt9,2625388.9875,566243.6274,121.4748," 23:43:43.23469"," 114:38:58.80248",121.4748,,,,,,,1.8765,0.0072,0.0088,0.0219,0.0113,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 10:06:41.0,2022-09-16 10:06:41.0,2022-09-16 02:06:41.0,2022-09-16 02:06:41.0,,3.0,47,47,1.2341,0.7000,0.5782,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,248.8655," 189:12:05.75174",0.0000,0.0000," 00:17:04",," 00:16:48"," -00:03:00",," 23:43:43.23469"," 114:38:58.80248",121.4748,,,-2436606.1810,5309843.7113,2550850.6953," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
